epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5025,0.80926,3.91894,0.92814,0.00187,0.1022,0.00173,0.00087,0.48716,3.93178,0.79165,5.555e-05,5.555e-05,5.555e-05
2,35.6462,0.72513,3.20235,0.88083,0.01263,0.34888,0.07044,0.0374,0.54504,3.82867,0.79907,0.000121,0.000121,0.000121
3,53.0792,0.72955,2.42742,0.87822,0.01857,0.58445,0.12406,0.08347,0.50207,3.67787,0.79162,0.00018513,0.00018513,0.00018513
4,69.827,0.66012,2.1792,0.8688,0.02059,0.94892,0.20916,0.14874,0.55616,3.58741,0.78867,0.000247941,0.000247941,0.000247941
5,86.09,0.65452,2.09919,0.86059,0.02073,0.98545,0.2331,0.16183,0.52842,3.49617,0.78369,0.000309431,0.000309431,0.000309431
6,101.402,0.6398,1.93573,0.86858,0.02164,0.99259,0.24697,0.19184,0.53437,3.37495,0.78239,0.000369602,0.000369602,0.000369602
7,116.533,0.61764,1.91132,0.84105,0.02063,0.97037,0.21719,0.16462,0.56033,3.34922,0.7903,0.000428453,0.000428453,0.000428453
8,131.676,0.62343,1.83392,0.85123,0.01491,0.85952,0.22821,0.16934,0.5059,3.36654,0.79375,0.000485984,0.000485984,0.000485984
9,146.92,0.61416,1.76925,0.85543,0.01468,0.87407,0.30824,0.2697,0.54186,3.15807,0.81217,0.000542195,0.000542195,0.000542195
10,162.07,0.62027,1.68392,0.85419,0.0153,0.88889,0.35461,0.30119,0.50578,3.06701,0.79935,0.000597086,0.000597086,0.000597086
11,177.095,0.59676,1.69007,0.85063,0.01963,0.98519,0.5552,0.47828,0.56738,2.85397,0.8043,0.000650657,0.000650657,0.000650657
12,192.379,0.6212,1.58672,0.85132,0.01766,0.91111,0.43808,0.36915,0.55253,2.77426,0.80279,0.000702909,0.000702909,0.000702909
13,207.595,0.60235,1.56662,0.86056,0.01963,0.95556,0.56869,0.48007,0.56021,2.86259,0.80739,0.00075384,0.00075384,0.00075384
14,222.741,0.63592,1.49535,0.8609,0.75796,0.15846,0.45558,0.38155,0.59102,2.83247,0.80515,0.000803452,0.000803452,0.000803452
15,237.96,0.59393,1.41664,0.85272,0.66436,0.3954,0.65126,0.56173,0.53683,2.55915,0.80715,0.000851744,0.000851744,0.000851744
16,257.81,0.614,1.34665,0.85933,0.69222,0.38404,0.77519,0.67653,0.5514,2.25047,0.81065,0.000898716,0.000898716,0.000898716
17,277.107,0.63267,1.34445,0.8689,0.71658,0.26807,0.74646,0.64793,0.5735,2.34878,0.81031,0.000935018,0.000935018,0.000935018
18,296.532,0.5995,1.3396,0.84833,0.78946,0.7613,0.87614,0.78117,0.4961,1.84988,0.79867,0.000924019,0.000924019,0.000924019
19,315.728,0.59541,1.20428,0.85083,0.79497,0.87475,0.87102,0.77109,0.53045,1.48075,0.80938,0.00091302,0.00091302,0.00091302
20,335.177,0.57656,1.14197,0.83549,0.73679,0.88867,0.88835,0.78535,0.50616,1.45138,0.80646,0.000902021,0.000902021,0.000902021
21,354.405,0.57497,1.08149,0.84075,0.76008,0.90311,0.89045,0.78488,0.52732,1.43571,0.81222,0.000891022,0.000891022,0.000891022
22,373.771,0.56382,1.02949,0.84108,0.89966,0.92517,0.95362,0.85938,0.48458,1.05805,0.80369,0.000880023,0.000880023,0.000880023
23,393.032,0.58244,1.0242,0.84849,0.88541,0.97238,0.98162,0.87888,0.48803,0.96603,0.79937,0.000869024,0.000869024,0.000869024
24,412.43,0.59968,1.10177,0.86156,0.9573,0.96374,0.98361,0.87343,0.52334,0.89656,0.81233,0.000858025,0.000858025,0.000858025
25,431.582,0.58628,0.98442,0.85199,0.93283,0.95732,0.98498,0.88363,0.48423,0.90191,0.80583,0.000847026,0.000847026,0.000847026
26,450.92,0.57756,0.98928,0.8571,0.92597,0.91074,0.97098,0.87478,0.46551,0.96251,0.80225,0.000836027,0.000836027,0.000836027
27,470.117,0.56924,0.94484,0.83973,0.83589,0.91035,0.92624,0.82631,0.49518,1.01546,0.811,0.000825029,0.000825029,0.000825029
28,489.354,0.54803,0.85882,0.85172,0.89589,0.95914,0.97378,0.87578,0.46811,0.78163,0.80494,0.00081403,0.00081403,0.00081403
29,508.639,0.55121,0.85592,0.84485,0.83669,0.93433,0.93549,0.84595,0.4645,0.93752,0.80424,0.000803031,0.000803031,0.000803031
30,527.877,0.53478,0.86511,0.84681,0.95791,0.97508,0.98957,0.90252,0.45792,0.67305,0.80121,0.000792032,0.000792032,0.000792032
